"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2021-10-05,"R",NA,"estimate",1.26721618526536,1.26784726740512,0.0692695743621705,1.15645389599195,1.22386629634608,1.25122828149027,1.28386678019845,1.31011316055532,1.38400645976549
2021-10-06,"R",NA,"estimate",1.26477191518039,1.26559554201535,0.0681244458541195,1.15693500123411,1.22218427427329,1.24814122348244,1.28014657363848,1.30790598913534,1.37800603279684
2021-10-07,"R",NA,"estimate",1.26087486900297,1.26242817222047,0.0667561127268881,1.15524047201319,1.21861130535571,1.24547969907057,1.27633027205962,1.30435625760534,1.37518884755783
2021-10-08,"R",NA,"estimate",1.25669268907144,1.25817694612832,0.0655600020158698,1.15519912732265,1.21460599478139,1.24144493680871,1.27188052634431,1.29908431822962,1.36647497693328
2021-10-09,"R",NA,"estimate",1.2505614297259,1.25270589407344,0.0647736316718012,1.15135399235446,1.21067357870808,1.23529403002896,1.26657874246244,1.29234874427305,1.36075429046849
2021-10-10,"R",NA,"estimate",1.2434836822075,1.24594761845678,0.0643940689602577,1.14625970854084,1.2050063001124,1.22801185362041,1.25898582345527,1.28464405086093,1.35281387925499
2021-10-11,"R",NA,"estimate",1.23486389577064,1.23793274833911,0.0642519785688786,1.13922402543764,1.1974291891841,1.22007883227962,1.2498568010718,1.2760945801951,1.34503969419754
2021-10-12,"R",NA,"estimate",1.22571515676783,1.22880473376815,0.0641620784311876,1.12926008673562,1.18882779380439,1.21199874874276,1.24039823639572,1.26733330760407,1.33472579902715
2021-10-13,"R",NA,"estimate",1.21610495227875,1.21881458174939,0.0640257497232442,1.11772334204863,1.17886603403352,1.20218790626632,1.23086020152442,1.25733787166225,1.32539284976491
2021-10-14,"R",NA,"estimate",1.20598109372869,1.20829590062144,0.0638266442139879,1.10595994517273,1.16914647525845,1.19168485137266,1.22166226807483,1.24707536517506,1.31382161859433
2021-10-15,"R",NA,"estimate",1.195567853151,1.19762672211249,0.0635582236978555,1.09420111989148,1.15959224646458,1.18207263238695,1.21136579235056,1.23639291901553,1.30307249161008
2021-10-16,"R",NA,"estimate",1.18682863133447,1.18718758748903,0.0631696482498832,1.08116319217193,1.15067811905728,1.17260032948033,1.20040679645839,1.22599875370154,1.29047341575281
2021-10-17,"R",NA,"estimate",1.17730156724579,1.17732400448376,0.0625840316501767,1.07250308050899,1.13976380659991,1.16243611473771,1.19115425336064,1.21703394024502,1.27914297246595
2021-10-18,"R",NA,"estimate",1.16794056868352,1.16831723691752,0.0617725193599442,1.06837385026525,1.13041607693074,1.15361676954522,1.18185118010803,1.20802053052766,1.26646833895749
2021-10-19,"R",NA,"estimate",1.1597281798039,1.16036351853909,0.0608240013353342,1.06180654960138,1.1224441545233,1.14629785503564,1.17450411374847,1.19883200292465,1.25908357722619
